latitude_degree,latitude_minute,longitude_degree,longitude_minute,standard_length,total_length,weight,latitude,longitude,species,month,year
68.0,33.6,71.0,28.8,49,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,49,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,49,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,49,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,49,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,49,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,49,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,49,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,49,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,50,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,50,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,50,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,50,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,51,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,58,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
68.0,33.6,71.0,28.8,-1,-1,0.0,-68.56,71.48,PLEURAGRAMMA ANTARCTICUM,1,1981
67.0,22.6,70.0,59.2,-1,-1,4095.5,-67.3767,70.98666999999999,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,24.6,71.0,1.4,0,-1,55.19,-67.41,71.02333,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,24.6,71.0,1.4,49,0,0.0,-67.41,71.02333,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,24.6,71.0,1.4,49,0,0.0,-67.41,71.02333,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,24.6,71.0,1.4,50,0,0.0,-67.41,71.02333,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,24.6,71.0,1.4,50,0,0.0,-67.41,71.02333,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,24.6,71.0,1.4,54,0,0.0,-67.41,71.02333,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,24.6,71.0,1.4,54,0,0.0,-67.41,71.02333,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,24.6,71.0,1.4,64,0,0.0,-67.41,71.02333,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,24.6,71.0,1.4,65,0,0.0,-67.41,71.02333,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,24.6,71.0,1.4,133,0,0.0,-67.41,71.02333,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,24.6,71.0,1.4,48,0,0.0,-67.41,71.02333,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,24.6,71.0,1.4,48,-1,0.0,-67.41,71.02333,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.4,-1,-1,641.7,-67.3767,70.95666999999999,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,111,0,8.12,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,141,0,18.69,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,153,0,19.36,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,100,0,4.8,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,97,0,5.43,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,113,0,10.17,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,155,0,24.33,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,107,0,6.45,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,91,0,4.17,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,88,0,3.87,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,125,0,13.07,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,153,0,25.24,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,80,0,2.34,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,133,0,14.63,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,133,0,15.61,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,154,0,23.13,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,118,0,10.66,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,105,0,7.37,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,110,0,7.51,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,102,0,5.89,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,116,0,8.59,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,95,0,5.14,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,95,0,4.56,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,90,0,4.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,94,0,4.97,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,90,0,4.21,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,90,0,3.99,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,107,0,6.61,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,99,0,5.5,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,78,0,2.23,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,96,0,4.71,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,67,0,1.56,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,38,0,9.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,38,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,38,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,44,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,45,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,45,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,45,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,45,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,46,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,46,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,46,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,46,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,46,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,46,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,46,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,46,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,47,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,47,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,47,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,47,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,47,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,47,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,47,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,47,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,48,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,49,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,49,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,49,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,49,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,49,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,49,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,49,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,49,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,49,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,49,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
67.0,22.6,70.0,57.3,49,0,0.0,-67.3767,70.955,PLEURAGRAMMA ANTARCTICUM,3,1981
